Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
;;0000;0001;1000;0001;0181;ADD;;displacement;;word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;0010;0182;ADD;;base reg;;word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;0011;0183;ADD;;base + displacement;;word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;0100;0184;ADD;;(Index*Scale)+Disp;;word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;1000;0188;ADD;;register;;double word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;1001;0189;ADD;;displacement;;double word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;1010;018A;ADD;;base reg;;double word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;1011;018B;ADD;;base + displacement;;double word;;immediate;;byte;;;;;;;;;;
;;0000;0001;1000;1100;018C;ADD;;(Index*Scale)+Disp;;double word;;immediate;;byte;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0000;0110;0000;0010;0000;0000;0200;PUSH;;ES;;;;N/A;;N/A;;;;;;;;;;
0001;0110;0000;0010;0001;0000;0210;PUSH;;SS;;;;N/A;;N/A;;;;;;;;;;
0000;1110;0000;0010;0010;0000;0220;PUSH;;CS;;;;N/A;;N/A;;;;;;;;;;
0001;1110;0000;0010;0011;0000;0230;PUSH;;DS;;;;N/A;;N/A;;;;;;;;;;
HEX : 0FA0;;0000;0010;0100;0000;0240;PUSH;;FS;;;;N/A;;N/A;;;;;;;;;;
HEX : 0FA8;;0000;0010;0101;0000;0250;PUSH;;GS;;;;N/A;;N/A;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0101;0000;0000;0010;0110;0000;0260;PUSH;;EAX;;;;N/A;;N/A;;;;;;;;;;
;;0000;0010;0110;0001;0261;PUSH;;AX;;;;N/A;;N/A;;;;;;;;;;
